href,salary,position,city,work_year,company
/job_detail/4a0f99bd00d6d8460HB62dS0ElM~.html,25-50K·16薪,3D动画（动作）,上海,3-5年,叠纸游戏
/job_detail/1c1f7a5153e172491nBy29m1F1RV.html,10-15K·16薪,3D特效设计师（游戏研发项目）,上海,1-3年,叠纸游戏
/job_detail/98f484b910c6eaf10Hx_29y5FFo~.html,20-40K,场景概念设计,上海,3-5年,叠纸游戏
/job_detail/7bb94cc04752ab6e0nVy3dy_EVo~.html,35-50K·16薪,U3D主程,上海,3-5年,叠纸游戏
/job_detail/3f33c42703d9922c0Hd52Nm-Els~.html,20-40K,特效师,上海,3-5年,叠纸游戏
/job_detail/f953fbc04abba4f43nB-29W7FVc~.html,4-6K·13薪,客服专员,芜湖,经验不限,叠纸游戏
/job_detail/f7b199a1e0e47d8c1nF80tq7GVdY.html,30-50K·16薪,技术美术-TA,上海,经验不限,叠纸游戏
/job_detail/54db73cd7c85bec10XN_29y0FFc~.html,15-30K,3D角色模型,上海,经验不限,叠纸游戏
/job_detail/3b9c2a234f65bdd50HB809-5EVc~.html,15-25K·16薪,APM,上海,1-3年,叠纸游戏
/job_detail/1e65e31340a39bc71nBy0t-_EFBT.html,12-24K·16薪,UI动效设计师,上海,经验不限,叠纸游戏
/job_detail/331248133c8535f61nF509y8FlJU.html,23-24K,游戏客户端开发（四代） (MJ000962),上海,5-10年,叠纸游戏
/job_detail/5c2f4b0fdfa02f0a1nV-0t-0GFVY.html,15-30K,古风写实角色原画,上海,1-3年,叠纸游戏
/job_detail/8259aaeda921b2ba1nF939-5E1RR.html,15-30K·16薪,场景概念设计师,上海,经验不限,叠纸游戏
/job_detail/fe545d86b605a85d1nF82t-6FVdQ.html,25-40K·16薪,布料模拟研究员,上海,经验不限,叠纸游戏
/job_detail/be3134ebdcbd14261nR62t65FFFZ.html,20-40K·16薪,游戏影视分镜（战斗向）,上海,3-5年,叠纸游戏
/job_detail/d7ec3db638420b8833d43Nu8FVs~.html,16-30K·14薪,资深原画师,上海,3-5年,叠纸游戏
/job_detail/95f39e741e6917a11nR92di7GFFZ.html,35-65K·16薪,服务器架构开发,上海,3-5年,叠纸游戏
/job_detail/67de1e00969848c11nR43d67F1NR.html,15-30K·16薪,美宣设计师,上海,1-3年,叠纸游戏
/job_detail/6c15e2e3bcbe6cf31nFy3t-1EFVZ.html,4-7K·13薪,电商客服,成都,1年以内,完美世界
/job_detail/888dfc3e14b8729a1nF73tm0EVJS.html,15-19K·16薪,游戏发行经理,上海,3-5年,完美世界
/job_detail/5b9b33a42de112ce1nZ_3928F1ZY.html,4-7K·13薪,游戏语音客服,成都,1年以内,完美世界
/job_detail/faef2f043bb9d3741nBy29-5FVZX.html,4-6K·13薪,游戏审核,成都,1-3年,完美世界
/job_detail/6ec1b71ce29caacc1nBz2d20EFNQ.html,25-45K·14薪,游戏特效（北京）,北京,经验不限,完美世界
/job_detail/ecc5fb9ca6d8af0e03Z52NW4F1s~.html,20-40K,PBR角色,北京,5-10年,完美世界
